Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
JPMORGAN CHASE BK NA/JPMORGAN CHASE & CO,1.0,852218,"COLUMBUS, OH",NAT,1826387000000.0,1164647000000.0,0.64,0.15,5377.0,45.0,Y,0.0,0.155,2011-09-30,Q3-2011
BANK OF AMER NA/BANK OF AMER CORP,2.0,480228,"CHARLOTTE, NC",NAT,1466417000000.0,1358603000000.0,0.93,0.28,5772.0,34.0,Y,0.0,0.1244,2011-09-30,Q3-2011
CITIBANK NA/CITIGROUP,3.0,476810,"SIOUX FALLS, SD",NAT,1300674000000.0,690932000000.0,0.53,0.39,1027.0,349.0,Y,0.0,0.1104,2011-09-30,Q3-2011
WELLS FARGO BK NA/WELLS FARGO & CO,4.0,451965,"SIOUX FALLS, SD",NAT,1142254000000.0,1114502000000.0,0.98,0.49,6375.0,8.0,Y,0.0,0.0969,2011-09-30,Q3-2011
U S BK NA/U S BC,5.0,504713,"CINCINNATI, OH",NAT,319449000000.0,316835000000.0,0.99,0.51,3137.0,1.0,N,0.0,0.0271,2011-09-30,Q3-2011
PNC BK NA/PNC FNCL SVC GROUP,6.0,817824,"WILMINGTON, DE",NAT,261236000000.0,259320000000.0,0.99,0.54,2613.0,1.0,N,0.0,0.0222,2011-09-30,Q3-2011
BANK OF NY MELLON/BANK OF NY MELLON CORP,7.0,541101,"NEW YORK, NY",SMB,251529000000.0,160510000000.0,0.64,0.56,4.0,13.0,Y,0.0,0.0213,2011-09-30,Q3-2011
HSBC BK USA NA/HSBC NORTH AMER HOLD,8.0,413208,"MCLEAN, VA",NAT,203675000000.0,184697000000.0,0.91,0.57,477.0,4.0,Y,1.0,0.0173,2011-09-30,Q3-2011
STATE STREET B&TC/STATE STREET CORP,9.0,35301,"BOSTON, MA",SMB,203490000000.0,141089000000.0,0.69,0.59,2.0,11.0,N,0.0,0.0173,2011-09-30,Q3-2011
T D BK NA/TD US P & C HOLD ULC,10.0,497404,"WILMINGTON, DE",NAT,187535000000.0,187535000000.0,1.0,0.61,1301.0,1.0,N,1.0,0.0159,2011-09-30,Q3-2011
FIA CARD SVC NA/BANK OF AMER CORP,11.0,1830035,"WILMINGTON, DE",NAT,176467000000.0,161842000000.0,0.92,0.62,0.0,0.0,N,0.0,0.015,2011-09-30,Q3-2011
